Algeria,76.5,750.45,42705372,Africa,
Angola,62.4,178.03,32353592,Africa,
Benin,60.5,81.99,12290443,Africa,
Botswana,65.5,1122.14,2499705,Africa,
Burkina Faso,60,122.41,20951638,Africa,
Burundi,62.4,61.8,11874838,Africa,
Cameroon,61.6,136.24,25782342,Africa,
Cape Verde,76,369.68,577037,Africa,
Central African Republic,55,78.44,5209329,Africa,
Chad,53.3,69.4,16126868,Africa,
Comoros,64.1,168.64,790993,Africa,
Congo,62.7,81.69,5570736,Africa,
Cote d'Ivoire,59.3,179.55,26147544,Africa,
Democratic Republic of Congo,60.3,40.61,89906896,Africa,
Djibouti,63.1,104.14,1073999,Africa,
Egypt,71.4,582.23,105618672,Africa,
Equatorial Guinea,61.6,607.43,1553037,Africa,
Eritrea,67.3,81.85,3498819,Africa,
Eswatini,60.5,610.49,1169620,Africa,
Ethiopia,65.8,75.11,114120592,Africa,
Gabon,66.6,432.19,2242788,Africa,
Gambia,63.8,88.71,2508882,Africa,
Ghana,64.7,193.22,31522294,Africa,
Guinea,59.7,119.59,12877537,Africa,
Guinea-Bissau,60.9,186.43,1970460,Africa,
Kenya,62.9,207.62,50951452,Africa,
Lesotho,54.2,313.61,2225710,Africa,
Liberia,61.1,126.02,4985290,Africa,
Madagascar,65.9,65.23,27533134,Africa,
Malawi,64.1,81.7,18867340,Africa,
Mali,59.7,94.55,20567430,Africa,
Mauritania,65.7,187.05,4383853,Africa,
Mauritius,75.1,1475.96,1296284,Africa,
Morocco,74.3,424.5,36304408,Africa,
Mozambique,61.2,104.82,30285602,Africa,
Namibia,63.1,867.35,2446648,Africa,
Niger,62.9,72.48,23443400,Africa,
Nigeria,52.9,162.31,203304496,Africa,
Rwanda,66.4,145.74,12835029,Africa,
Sao Tome and Principe,68.5,226.81,214612,Africa,
Senegal,68.5,144.8,16000783,Africa,
Seychelles,74.2,1468.72,104386,Africa,
Sierra Leone,60.3,157,8046830,Africa,
South Africa,66.2,1187.3,58087060,Africa,
South Sudan,55.9,62.99,10447677,Africa,
Sudan,65.9,204.54,43232092,Africa,
Tanzania,67,99.35,59872584,Africa,
Togo,60.9,125.56,8243093,Africa,
Tunisia,76,789.05,12049319,Africa,
Uganda,63,92.38,42949076,Africa,
Zambia,62.8,192.52,18380478,Africa,
Zimbabwe,61.3,208.41,15354606,Africa,
Afghanistan,63.6,285.56,37769496,Asia,
Armenia,75.4,1616.18,2820604,Asia,
Azerbaijan,73.1,605.93,10232761,Asia,
Bahrain,80,1880.58,1494195,Asia,
Bangladesh,72.8,123.29,165516224,Asia,
Bhutan,71.4,432.13,767467,Asia,
Brunei,74.7,1400.91,438058,Asia,
Cambodia,70.7,316.05,16207746,Asia,
China,78,880.19,1421864064,Asia,
East Timor,68.3,220.31,1280442,Asia,
Georgia,73.5,970.2,3770814,Asia,
India,70.9,211,1383112064,Asia,
Indonesia,70.5,358.29,269582880,Asia,
Iran,76.1,868.18,86564208,Asia,
Iraq,71.6,483.34,41563524,Asia,
Israel,82.8,3326.25,8607922,Asia,
Japan,84.4,4587.03,125791680,Asia,
Jordan,76,797.45,10698682,Asia,
Kazakhstan,71.6,765.49,18754260,Asia,
Kuwait,79.7,2861.19,4441105,Asia,
Kyrgyzstan,71.2,260.35,6323643,Asia,
Laos,68.1,212.37,7212058,Asia,
Lebanon,79.2,1288.81,5781912,Asia,
Malaysia,75.8,1132.99,32804024,Asia,
Maldives,80.1,1639.8,504518,Asia,
Mongolia,71.8,484.39,3232435,Asia,
Myanmar,66.6,226.83,53040212,Asia,
Nepal,69.6,176.96,28832500,Asia,
Oman,78,1160.78,4602769,Asia,
Pakistan,66.8,165.55,223293280,Asia,
Philippines,71.9,379.24,110380800,Asia,
Qatar,81,2736.82,2807242,Asia,
Saudi Arabia,77.3,2789.56,35827364,Asia,
Singapore,83.8,4102.27,5866408,Asia,
South Korea,83.7,3521.33,51803832,Asia,
Sri Lanka,76,569.57,21649664,Asia,
Tajikistan,70.9,250.77,9337008,Asia,
Thailand,79,731.31,71307768,Asia,
Turkey,77.8,1186.74,83481688,Asia,
Turkmenistan,69,1063.84,6158424,Asia,
